,sig_id
307,HOG002_A549_24H:BRD-K81418486-001-32-7:0.3704
308,DOSBIO001_HT29_24H:BRD-K81418486:0.37037
309,DOSBIO002_MCF7_24H:BRD-K81418486:1.11111
310,HDAC001_PC3_6H:BRD-K81418486:10
311,DOSBIO001_A549_24H:BRD-K81418486:0.37037
312,HDAC002_PC3_6H:BRD-K81418486-001-10-3:10
313,NMH002_FIBRNPC_24H:BRD-K81418486-001-22-8:10
314,ABY001_PC3_XH:BRD-K81418486:2.5:24
315,LTC002_HME1_24H:BRD-K81418486:0.12346
316,ABY001_NCIH596_XH:BRD-K81418486:2.5:3
317,LTC006_MDAMB231_3H:BRD-K81418486:0.12346
318,LTC006_MDAMB231_24H:BRD-K81418486:0.37037
319,TAA001_SHSY5Y_24H:N14
320,CEGS002_HIMG002_24H:C20
321,CEGS002_HIMG002_24H:C22
322,ABY001_A375_XH:BRD-K81418486:0.625:24
323,LPROT002_MCF7_6H:BRD-K81418486:1
324,LTC007_MDAMB231_3H:BRD-K81418486:0.37037
325,ABY001_NCIH1975_XH:BRD-K81418486:0.625:24
326,LPROT003_NPC_6H:BRD-K81418486:1
327,HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.078125
328,HDAC002_MCF7_24H:BRD-K81418486-001-10-3:0.0195312
329,HDAC002_MCF7_6H:BRD-K81418486-001-10-3:0.3125
330,LCP001_MCF10A.WT_6H:N23
331,HOG003_MCF7_24H:BRD-K81418486-001-32-7:0.013
332,HDAC002_MCF7_24H:BRD-K81418486-001-10-3:0.00488281
333,HOG003_A549_6H:BRD-K81418486-001-32-7:0.3704
334,DOSBIO002_PC3_24H:BRD-K81418486:3.33333
335,LCP001_MCF10A.WT_24H:N23
336,DEB001_MCF7_24H:BRD-K81418486-001-24-4:1
337,ABY001_HEPG2_XH:BRD-K81418486:2.5:24
338,LPROT004_YAPC_6H:BRD-K81418486:1
339,DTAK001_DU145_24H:BRD-K81418486:10
340,RAD001_PC3_6H:BRD-K81418486-001-18-6:0.0015
341,CVD001_HEPG2_24H:BRD-K81418486:10
342,HOG002_MCF7_24H:BRD-K81418486-001-32-7:0.0015
343,POL001_HEPG2_24H:O06
344,HOG003_MCF7_6H:BRD-K81418486-001-32-7:0.013
345,DEB001_MCF7_24H:BRD-K81418486-001-24-4:0.1
346,DOSBIO002_HT29_24H:BRD-K81418486:1.11111
347,POL001_HT29_24H:O02
348,HDAC002_HA1E_24H:BRD-K81418486-001-10-3:1.25
349,HOG001_MCF7_6H:BRD-K81418486-001-32-7:1.11
350,PCL001_HEPG2_24H:BRD-K81418486:10
351,TAA001_SHSY5Y_24H:N18
352,CEGS001_NPC.179_24H:C22
353,CEGS002_HIMG001_24H:C20
354,DOSBIO002_NPC_24H:BRD-K81418486:10
355,LCP001_MCF10A.WT_3H:N23
356,DEB001_PC3_24H:BRD-K81418486-001-24-4:5
357,LTC003_HME1_24H:BRD-K81418486:0.37037
358,LPROT002_A375_6H:BRD-K81418486:1
359,LPROT003_A549_6H:BRD-K81418486:1
360,DTAK002_C42_24H:BRD-K81418486:10
361,ABY001_NCIH1975_XH:BRD-K81418486:0.625:3
362,MOA001_A549_24H:P12
363,RAD001_PC3_6H:BRD-K81418486-001-18-6:0.3704
364,HOG002_MCF7_6H:BRD-K81418486-001-32-7:0.0015
365,HDAC002_HA1E_6H:BRD-K81418486-001-10-3:10
366,HDAC002_HA1E_6H:BRD-K81418486-001-10-3:5
367,DEB001_PC3_6H:BRD-K81418486-001-24-4:0.2
368,RAD001_A549_6H:BRD-K81418486-001-18-6:0.3704
369,DOSBIO002_NPC_24H:BRD-K81418486:3.33333
370,POL001_HT29_24H:O01
371,HDAC002_PC3_6H:BRD-K81418486-001-10-3:0.078125
372,DTAK001_C42_24H:BRD-K81418486:10
373,LTC008_MDAMB231_24H:BRD-K81418486:3.3333
374,HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.0195312
375,HOG001_A549_6H:BRD-K81418486-001-32-7:0.0045
376,RAD001_MCF7_6H:BRD-K81418486-001-18-6:0.1235
377,HOG002_MCF7_6H:BRD-K81418486-001-32-7:0.0045
378,MOA001_U2OS_24H:P12
379,LRS001_PHH.MGH_24H:I08
380,KMS002_NOMO1_24H:B04
381,KMS002_THP1_24H:BRD-K81418486-001-01-2:9.99
382,ABY001_PC3_XH:BRD-K81418486:0.625:3
383,TSAI001_221NPC1_XH:BRD-K81418486:2.5
384,LTC005_MDAMB231_24H:BRD-K81418486:0.37037
385,HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.00976562
386,HDAC002_PC3_24H:BRD-K81418486-001-10-3:10
387,PRISM001_A375_6H:BRD-K81418486:10
388,RAD001_MCF7_24H:BRD-K81418486-001-18-6:0.0137
389,HOG003_A549_6H:BRD-K81418486-001-32-7:10
390,HOG003_A549_6H:BRD-K81418486-001-32-7:0.1235
391,BRAF001_HEK293T_24H:BRD-K81418486-001-15-2:0.625
